date,hullCode,radioCode,name,owner,length,width,position
20150100,93150,133,,MSC,,,Jakarta
20150100,,134,HOLTENAU,,27,,Jeddah
20150100,73952,135,,Mitsui OSK Line,183,,Kaohsiung
20150100,12202,,FAXI,,67,,Ningbo
20150100,16260,137,GUO TOU 102,,,,Sharjah
20150100,18867,138,DANPILOT LODSFARTOJ4,,10,,Hong Kong
20150100,44668,139,O DAEYANG 12,Hapag-Lloyd,,,New York
20150100,,140,,CMA-CGM,24,,Xiamen
20150100,10517,141,KONGSNES,MSC,,,Guangzhou
20150100,41463,,BELMAR,MSC,249,,Columbo
20150100,11124,143,BIG ARON,Maersk,,,Hong Kong
20150100,66079,144,KPV KAPAS,,60,,Bangkok
20150100,66203,145,,CMA-CGM,,,Guangzhou
20150100,55140,60,,NYK Line,,14,Dubai
20150100,83459,14,BARA SI-10,,12,,New York
20150100,,,VINCENZA GIACALONE,Hapag-Lloyd,28,,Jakarta
20150100,,111,SVITZER ELLERBY,OOCL,,,Rotterdam
20150100,49303,104,SIYA,Evergreen,,,Bangkok
20150100,35414,,MACABI,,14,,Shanghai
20150100,87701,10,ATLOY VIKING,Maersk,35,,Hong Kong
20150100,91111,94,RESCUE ELSA JOHANSSO,Hamburg Süd,16,,Kaohsiung
20150100,,,PENG CHENG 66,Hanjin Shipping,,,Algeciras
20150100,79284,32,FORTE,Mitsui OSK Line,91,,Long Beach
20150100,80620,128,,Hamburg Süd,,,Long Beach
20150100,,1,AARDAL,,,,Dalian
20150100,80539,82,,Maersk,,,Jakarta
20150100,76173,,,Hamburg Süd,36,,Jakarta
20150100,16752,24,CORSAIR,CMA-CGM,177,,Xiamen
20150100,,77,NAUTIC,Maersk,27,,Columbo
20150100,,71,,Evergreen,25,,Bremen
20150100,17538,95,,,,10,Dalian
20150100,50469,6,,Hamburg Süd,,,Istanbul
20150100,62639,64,,,224,,Yingkou
20150100,54643,,,MSC,300,,Guangzhou
20150100,79324,,,,,,Yingkou
20150100,,7,,,14,,Kuala Lumpur
20150100,72575,,STELLA,NYK Line,15,,Long Beach
20150100,61507,,WHATEVER,COSCO,12,5,São Paulo
20150100,78481,23,,CMA-CGM,,,Dalian
20150100,,42,,,17,,Panama
20150100,43169,,HD27 ZUIDERHAAKS,Maersk,42,,Jakarta
20150100,48163,58,,MSC,,,Istanbul
20150100,,72,MARSJA,American President Lines,110,,Hong Kong
20150100,92924,103,,China Shipping,120,,Long Beach
20150100,,53,KARAGOZLER-1,Maersk,,,Los Angeles
20150100,61150,25,CRYSTAL GALAXY,Evergreen,111,,Yingkou
20150100,88566,,STIG HARRY,MSC,,,Lianyungang
20150100,19214,,AGIOS PANTELEIMON,,,,Sharjah
20150100,54761,28,EDDA FONN,,85,,Qingdao
20150100,11165,,LINGE,MSC,28,,Valencia
20150100,,29,EDDA FRIGG,CMA-CGM,84,,Antwerp
20150100,23087,43,HOEGH AMERICA,,,,Tanjung Pelepas
20150100,82992,,AURORA BOREAL,,,,Osaka
20150100,75338,79,NEVERLAND DREAM,,250,,Lianyungang
20150100,35358,,,,179,,São Paulo
20150100,,93,,Maersk,,11,Guangzhou
20150100,89266,,NARVIK,,,,Dubai
20150100,54885,30,FAIR FALCON,,105,,Hong Kong
20150100,56324,57,KRISTIN SCHEPERS,Evergreen,333,,Manila
